Algorithm,ItemCount,Capacity,TotalValue,TotalWeight_Selected,TimeMS
贪心法,4000,10000,251226.09,9992.28,1.00
回溯法-跳过,4000,10000,0.00,0.00,0.00
蛮力法-跳过,4000,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,4000,100000,0.00,0.00,0.00
贪心法,4000,100000,802321.68,99992.16,0.00
回溯法-跳过,4000,100000,0.00,0.00,0.00
蛮力法-跳过,4000,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,4000,1000000,0.00,0.00,0.00
贪心法,4000,1000000,1062348.23,199011.20,1.00
回溯法-跳过,4000,1000000,0.00,0.00,0.00
蛮力法-跳过,5000,10000,0.00,0.00,0.00
动态规划法-内存超限跳过,5000,10000,0.00,0.00,0.00
贪心法,5000,10000,259441.22,9996.00,1.00
回溯法-跳过,5000,10000,0.00,0.00,0.00
蛮力法-跳过,5000,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,5000,100000,0.00,0.00,0.00
贪心法,5000,100000,864499.73,99978.87,1.00
回溯法-跳过,5000,100000,0.00,0.00,0.00
蛮力法-跳过,5000,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,5000,1000000,0.00,0.00,0.00
贪心法,5000,1000000,1316490.83,255709.49,0.00
回溯法-跳过,5000,1000000,0.00,0.00,0.00
